5_10_bw_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,0.0019943714141845703,0.0,0.000997304916381836,0.0,0.000997304916381836,0.0
MRV,0.0009975433349609375,0.000997304916381836,0.0,0.0009970664978027344,0.000997304916381836,0.0009975433349609375
Small to big,0.0,0.000997304916381836,0.0,0.0009970664978027344,0.0009975433349609375,0.0
LCV,0.000997304916381836,0.000997781753540039,0.0009968280792236328,0.0009980201721191406,0.0009968280792236328,0.0
By bullets,0.000997304916381836,0.000997304916381836,0.0009975433349609375,0.0,0.0009970664978027344,0.000997304916381836
By color,0.0,0.0,0.0009975433349609375,0.0,0.0009975433349609375,0.0
