10_15_color_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,0.018910884857177734,0.008006572723388672,0.006982088088989258,0.005986928939819336,0.0059795379638671875,0.006981849670410156
MRV,0.007982969284057617,0.008971214294433594,0.008977174758911133,0.009985685348510742,0.00896763801574707,0.009968280792236328
Small to big,0.006950855255126953,0.006982564926147461,0.007007598876953125,0.008949041366577148,0.006984710693359375,0.008006572723388672
LCV,0.009971141815185547,0.008974075317382812,0.007979393005371094,0.008004426956176758,0.00795745849609375,0.007978439331054688
By bullets,0.0069866180419921875,0.006982088088989258,0.00794529914855957,0.00798487663269043,0.007967710494995117,0.008984804153442383
By color,0.006952047348022461,0.010999202728271484,0.007947444915771484,0.007013082504272461,0.006973981857299805,0.010944843292236328
