40_60_bw_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,9.946441888809204,9.954397916793823,9.060302257537842,7.810125827789307,8.831921577453613,8.971035242080688
MRV,-1,-1,-1,-1,-1,-1
Small to big,37.93297982215881,33.50067162513733,31.475369691848755,8.947226762771606,37.10287046432495,9.577304124832153
LCV,3.4598917961120605,3.455369472503662,3.7953546047210693,5.032581090927124,3.452827215194702,3.4473512172698975
By bullets,4.462065935134888,4.887968063354492,4.292647361755371,4.098082542419434,4.450788974761963,5.609043598175049
By color,10.197762966156006,10.624136447906494,5.889864921569824,3.9419848918914795,4.548354864120483,4.597212791442871
