15_15_bw_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,0.01495981216430664,0.012961387634277344,0.008978843688964844,0.010940790176391602,0.00997304916381836,0.009972810745239258
MRV,0.015964508056640625,0.020943641662597656,0.010975360870361328,0.011967897415161133,0.010966777801513672,0.01196742057800293
Small to big,0.009973526000976562,0.009973287582397461,0.009973526000976562,0.00997304916381836,0.009973764419555664,0.010939836502075195
LCV,0.012996196746826172,0.01293492317199707,0.011967897415161133,0.011968135833740234,0.013990163803100586,0.014961719512939453
By bullets,0.011965274810791016,0.012969493865966797,0.00996851921081543,0.011968135833740234,0.009946107864379883,0.011995077133178711
By color,0.012965679168701172,0.011972665786743164,0.00895380973815918,0.008998394012451172,0.00994253158569336,0.010997533798217773
