25_25_color_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,69.66486620903015,100.09174394607544,24.659011125564575,45.17703199386597,59.29595923423767,11.063355207443237
Small to big,-1,-1
