5_10_color_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,0.0019459724426269531,0.0009975433349609375,0.000997304916381836,0.0009970664978027344,0.000997304916381836,0.0009975433349609375
MRV,0.000997304916381836,0.0009975433349609375,0.0019943714141845703,0.000997304916381836,0.001994609832763672,0.0009975433349609375
Small to big,0.000997304916381836,0.000997304916381836,0.000997304916381836,0.0009975433349609375,0.0009970664978027344,0.000997304916381836
LCV,0.000997304916381836,0.0019943714141845703,0.0009975433349609375,0.001994609832763672,0.0009975433349609375,0.001994609832763672
By bullets,0.0019989013671875,0.0009968280792236328,0.0009982585906982422,0.0009944438934326172,0.001995086669921875,0.0009968280792236328
By color,0.0009975433349609375,0.000997781753540039,0.000997304916381836,0.0009980201721191406,0.0009999275207519531,0.0009629726409912109
