10_15_color_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,38,38,38,38,38,38
MRV,38,38,38,38,38,38
Small to big,38,38,38,38,38,38
LCV,38,38,38,38,38,38
By bullets,38,38,38,38,38,38
By color,38,38,38,38,38,38
