10_15_bw_2.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,0.00999903678894043,0.007977962493896484,0.00697016716003418,0.008151531219482422,0.007952213287353516,0.011994123458862305
MRV,0.06781935691833496,0.07081151008605957,0.033881187438964844,0.07280516624450684,0.06884336471557617,0.03291606903076172
Small to big,0.00598454475402832,0.006980419158935547,0.00598597526550293,0.004954338073730469,0.0069806575775146484,0.005984067916870117
LCV,0.007012605667114258,0.007973909378051758,0.006955385208129883,0.00800466537475586,0.006964921951293945,0.009963750839233398
By bullets,0.005984306335449219,0.006981611251831055,0.006009101867675781,0.004987001419067383,0.0059583187103271484,0.006009817123413086
By color,0.00894927978515625,0.009002447128295898,0.00797891616821289,0.007979631423950195,0.0069806575775146484,0.009976863861083984
