15_23_color_2.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.13001370429992676,0.11613106727600098,0.06206393241882324,0.12496209144592285,0.061658382415771484,0.06691575050354004,1.4300405979156494
MRV,0.11470842361450195,0.11470317840576172,0.06881594657897949,0.11269879341125488,0.06283187866210938,0.06781888008117676,1.3387093544006348
Small to big,0.12792348861694336,0.1140146255493164,0.05914115905761719,0.11083126068115234,0.06254267692565918,0.06582379341125488,1.3757350444793701
LCV,0.13066673278808594,0.10672640800476074,0.05966472625732422,0.11395955085754395,0.0619661808013916,0.06745505332946777,1.3540194034576416
Random selection,0.1336503028869629,0.10186409950256348,0.06010317802429199,0.11169815063476562,0.06183576583862305,0.06682109832763672,1.418644666671753
By bullets,0.14792370796203613,0.11156487464904785,0.060045480728149414,0.11096787452697754,0.06204557418823242,0.10192465782165527,1.4057271480560303
By color,0.14100217819213867,0.10912895202636719,0.06101417541503906,0.11098384857177734,0.06201601028442383,0.0680239200592041,1.3663499355316162
