15_23_bw_2.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.039893388748168945,0.03690075874328613,0.029921531677246094,0.024932146072387695,0.032912492752075195,0.039893150329589844,0.616351842880249
MRV,0.08178067207336426,0.04188728332519531,0.0359044075012207,0.02194070816040039,0.0219423770904541,0.023936033248901367,0.28623485565185547
Small to big,0.020942211151123047,0.023935556411743164,0.039893388748168945,0.03590583801269531,0.023935794830322266,0.03092050552368164,0.27190303802490234
LCV,0.022939205169677734,0.030473947525024414,0.03690481185913086,0.03546023368835449,0.03889584541320801,0.02892303466796875,0.27427053451538086
Random selection,0.03512287139892578,0.03390979766845703,0.02692699432373047,0.027434110641479492,0.02593064308166504,0.022939205169677734,0.31090569496154785
By bullets,0.027100324630737305,0.02592921257019043,0.02698993682861328,0.022939205169677734,0.02903580665588379,0.03809666633605957,0.2768559455871582
By color,0.028922557830810547,0.03204703330993652,0.03305959701538086,0.04288530349731445,0.026927947998046875,0.03192734718322754,0.2842423915863037
