10_15_bw_2.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.010970592498779297,0.009973287582397461,0.007978677749633789,0.013963699340820312,0.010970354080200195,0.0109710693359375,0.2668294906616211
MRV,0.009972095489501953,0.013962984085083008,0.009972810745239258,0.00797891616821289,0.010969877243041992,0.009974002838134766,0.27785634994506836
Small to big,0.009972572326660156,0.010970592498779297,0.007978677749633789,0.008975982666015625,0.00797891616821289,0.008975982666015625,0.2513418197631836
LCV,0.011970996856689453,0.014966011047363281,0.010973453521728516,0.011968135833740234,0.007978200912475586,0.009973526000976562,0.2832682132720947
Random selection,0.012965917587280273,0.008978605270385742,0.011519908905029297,0.012964487075805664,0.014960050582885742,0.01695537567138672,0.2857942581176758
By bullets,0.008008956909179688,0.011936426162719727,0.009973764419555664,0.007979154586791992,0.007982492446899414,0.00997304916381836,0.29041504859924316
By color,0.014960050582885742,0.013963699340820312,0.012964725494384766,0.008975982666015625,0.007978439331054688,0.008975028991699219,0.2897322177886963
