15_23_color_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.047867774963378906,0.03690791130065918,0.034906864166259766,0.03690075874328613,0.02792525291442871,0.026928186416625977,0.2582998275756836
MRV,0.04041552543640137,0.05684852600097656,0.04089093208312988,0.043882131576538086,0.03091740608215332,0.028922557830810547,0.29525160789489746
Small to big,0.03402566909790039,0.04298734664916992,0.04499053955078125,0.0379796028137207,0.028980731964111328,0.035956621170043945,0.2690010070800781
LCV,0.04587745666503906,0.02792501449584961,0.025931358337402344,0.03291201591491699,0.027925491333007812,0.031948089599609375,0.26093554496765137
Random selection,0.03197360038757324,0.0380558967590332,0.03888392448425293,0.03897261619567871,0.03896903991699219,0.02703070640563965,0.2571687698364258
By bullets,0.0329737663269043,0.04202008247375488,0.038008689880371094,0.03644227981567383,0.044011831283569336,0.026999235153198242,0.27045702934265137
By color,0.034906625747680664,0.0478668212890625,0.031919002532958984,0.04587388038635254,0.03899526596069336,0.02796030044555664,0.27804064750671387
