10_15_bw_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.015956640243530273,0.012967109680175781,0.003998279571533203,0.013965368270874023,0.013962507247924805,0.005984306335449219,0.12019181251525879
MRV,0.011969327926635742,0.010969161987304688,0.0029931068420410156,0.010968446731567383,0.014961481094360352,0.005983591079711914,0.11768651008605957
Small to big,0.014958858489990234,0.010970592498779297,0.003989696502685547,0.014959573745727539,0.0139617919921875,0.004987955093383789,0.12865614891052246
LCV,0.012964725494384766,0.011968135833740234,0.002992391586303711,0.007978677749633789,0.010970592498779297,0.005983591079711914,0.12749004364013672
Random selection,0.009976387023925781,0.009211301803588867,0.003995656967163086,0.010971784591674805,0.009525775909423828,0.0049877166748046875,0.11324858665466309
By bullets,0.012964963912963867,0.014961957931518555,0.005984783172607422,0.015957117080688477,0.014960289001464844,0.003989219665527344,0.11568999290466309
By color,0.014959335327148438,0.014965295791625977,0.005984306335449219,0.011558294296264648,0.014960050582885742,0.005983829498291016,0.12865853309631348
