10_15_color_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.008974790573120117,0.008975028991699219,0.007979631423950195,0.009972810745239258,0.01296544075012207,0.007977962493896484,0.1515946388244629
MRV,0.011968374252319336,0.007978439331054688,0.009973287582397461,0.008975744247436523,0.007978439331054688,0.009973764419555664,0.13065099716186523
Small to big,0.008974075317382812,0.007978200912475586,0.011967658996582031,0.010970592498779297,0.007979393005371094,0.0059833526611328125,0.11170029640197754
LCV,0.007979154586791992,0.011968612670898438,0.008975982666015625,0.0059833526611328125,0.010971784591674805,0.009972095489501953,0.1381378173828125
Random selection,0.011967182159423828,0.009973764419555664,0.008975982666015625,0.0069806575775146484,0.008976459503173828,0.009973526000976562,0.13065314292907715
By bullets,0.011968135833740234,0.012484550476074219,0.011967658996582031,0.0109710693359375,0.009972810745239258,0.01196908950805664,0.11668562889099121
By color,0.0059850215911865234,0.011967897415161133,0.005982637405395508,0.007979393005371094,0.009973287582397461,0.006981372833251953,0.11420083045959473
