10_15_bw_4.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.005983829498291016,0.006981849670410156,0.00698089599609375,0.004986763000488281,0.00498652458190918,0.003989696502685547,0.03690028190612793
MRV,0.007979154586791992,0.005983591079711914,0.00897669792175293,0.0069806575775146484,0.007979154586791992,0.008975744247436523,0.02891993522644043
Small to big,0.0049877166748046875,0.004985809326171875,0.003983020782470703,0.0049860477447509766,0.0049860477447509766,0.004987478256225586,0.032912254333496094
LCV,0.007977008819580078,0.0059833526611328125,0.004986763000488281,0.0049860477447509766,0.007487058639526367,0.003989458084106445,0.027924537658691406
Random selection,0.004984855651855469,0.003989219665527344,0.004987239837646484,0.003989219665527344,0.004987239837646484,0.0049855709075927734,0.04139900207519531
By bullets,0.005983829498291016,0.003988742828369141,0.004987239837646484,0.003989696502685547,0.00498652458190918,0.007979631423950195,0.04538464546203613
By color,0.005984306335449219,0.003988742828369141,0.007979631423950195,0.007978677749633789,0.007977962493896484,0.006982088088989258,0.030917882919311523
