10_15_color_2.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.013961553573608398,0.01296544075012207,0.008975744247436523,0.009521245956420898,0.010932445526123047,0.007978200912475586,0.16506505012512207
MRV,0.008975505828857422,0.00797891616821289,0.011967658996582031,0.012965202331542969,0.013962745666503906,0.007978677749633789,0.14261817932128906
Small to big,0.006979227066040039,0.00797891616821289,0.010970592498779297,0.00797891616821289,0.013963699340820312,0.012964725494384766,0.15658140182495117
LCV,0.010970354080200195,0.00897526741027832,0.012966156005859375,0.0139617919921875,0.007979631423950195,0.007978677749633789,0.15383458137512207
Random selection,0.013982057571411133,0.010964155197143555,0.006981372833251953,0.012048006057739258,0.013962507247924805,0.00897669792175293,0.1639866828918457
By bullets,0.008023977279663086,0.0069806575775146484,0.0069844722747802734,0.007976293563842773,0.009973526000976562,0.012054443359375,0.13695883750915527
By color,0.008974313735961914,0.011968135833740234,0.013150453567504883,0.012965202331542969,0.008020401000976562,0.006981372833251953,0.17305302619934082
