15_23_color_3.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.09374856948852539,0.09275078773498535,0.09827494621276855,0.04986429214477539,0.06165742874145508,0.05582427978515625,0.9703824520111084
MRV,0.06981301307678223,0.06772136688232422,0.07779121398925781,0.04986739158630371,0.06582403182983398,0.055541276931762695,0.9081857204437256
Small to big,0.10272431373596191,0.07679486274719238,0.06781959533691406,0.048895835876464844,0.06139802932739258,0.0548248291015625,0.9209299087524414
LCV,0.10896778106689453,0.07998371124267578,0.06609845161437988,0.05102205276489258,0.06394505500793457,0.057054758071899414,0.8603103160858154
Random selection,0.08724761009216309,0.10595870018005371,0.06407499313354492,0.08195018768310547,0.07383131980895996,0.05686354637145996,0.8955793380737305
By bullets,0.1047205924987793,0.09974408149719238,0.06381821632385254,0.04889345169067383,0.06292462348937988,0.05594182014465332,0.8023617267608643
By color,0.07480049133300781,0.08624911308288574,0.06613636016845703,0.04897332191467285,0.06214547157287598,0.05533719062805176,0.9186103343963623
