10_15_bw_3.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.007978677749633789,0.00498652458190918,0.00797891616821289,0.009973526000976562,0.005983829498291016,0.005984067916870117,0.19099712371826172
MRV,0.009973526000976562,0.008975505828857422,0.009973287582397461,0.006981372833251953,0.005984067916870117,0.009972810745239258,0.1984696388244629
Small to big,0.005980730056762695,0.007978677749633789,0.009974002838134766,0.00698089599609375,0.006981372833251953,0.00997304916381836,0.19049072265625
LCV,0.006979227066040039,0.0069811344146728516,0.004986763000488281,0.007978439331054688,0.006981849670410156,0.007977962493896484,0.20844817161560059
Random selection,0.005980730056762695,0.005983829498291016,0.005983591079711914,0.0059833526611328125,0.005984067916870117,0.010970830917358398,0.22838926315307617
By bullets,0.005982160568237305,0.006982088088989258,0.005982875823974609,0.005985260009765625,0.009972333908081055,0.010970354080200195,0.22539663314819336
By color,0.004986763000488281,0.007977962493896484,0.005984783172607422,0.006980419158935547,0.006982088088989258,0.005984783172607422,0.2368767261505127
