15_23_bw_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.03401517868041992,0.02308511734008789,0.026932954788208008,0.03195810317993164,0.0329585075378418,0.030916452407836914,0.23382210731506348
MRV,0.02293872833251953,0.021941423416137695,0.02094411849975586,0.02094411849975586,0.03091740608215332,0.02596282958984375,0.2513275146484375
Small to big,0.03989386558532715,0.02692699432373047,0.024932384490966797,0.021942853927612305,0.020946741104125977,0.024933338165283203,0.23204421997070312
LCV,0.02892303466796875,0.036461591720581055,0.0249330997467041,0.02293848991394043,0.026928186416625977,0.02593064308166504,0.21733522415161133
Random selection,0.025933265686035156,0.029919147491455078,0.029016733169555664,0.027972698211669922,0.02907276153564453,0.05186724662780762,0.28377437591552734
By bullets,0.0359036922454834,0.03889608383178711,0.03111886978149414,0.027924299240112305,0.022939443588256836,0.033908843994140625,0.26035094261169434
By color,0.03693413734436035,0.02293848991394043,0.02393627166748047,0.021941184997558594,0.026927947998046875,0.031917572021484375,0.28824448585510254
