10_15_color_2.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,0.01396322250366211,0.0069789886474609375,0.009946823120117188,0.007012367248535156,0.010940074920654297,0.00997304916381836
MRV,0.008975744247436523,0.012965202331542969,0.00797891616821289,0.009007453918457031,0.009972333908081055,0.015960693359375
Small to big,0.006981372833251953,0.0079803466796875,0.007976293563842773,0.00797891616821289,0.007978677749633789,0.008976459503173828
LCV,0.009942293167114258,0.014986991882324219,0.01393580436706543,0.013961553573608398,0.013962745666503906,0.011968851089477539
By bullets,0.009999752044677734,0.007952690124511719,0.007976055145263672,0.00795125961303711,0.008011102676391602,0.008975028991699219
By color,0.007978200912475586,0.006981849670410156,0.0069806575775146484,0.007979869842529297,0.006983518600463867,0.007977724075317383
