15_15_color_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.11325716972351074,0.10970759391784668,0.08094549179077148,0.028937816619873047,0.08548283576965332,0.03587508201599121,2.53375244140625
MRV,0.11868166923522949,0.11668729782104492,0.0827786922454834,0.032912254333496094,0.09075736999511719,0.05984091758728027,2.6758251190185547
Small to big,0.13763117790222168,0.11220765113830566,0.08436393737792969,0.030963897705078125,0.08627963066101074,0.03493976593017578,2.6932477951049805
LCV,0.1052236557006836,0.12267255783081055,0.10511541366577148,0.05884242057800293,0.13663458824157715,0.05186152458190918,2.553062915802002
Random selection,0.1186823844909668,0.11370396614074707,0.07981753349304199,0.028918981552124023,0.08278274536132812,0.04488039016723633,2.610680103302002
By bullets,0.09175229072570801,0.12068891525268555,0.08380365371704102,0.03191089630126953,0.10347938537597656,0.03391385078430176,2.500622034072876
By color,0.10671424865722656,0.12394213676452637,0.08190298080444336,0.03037238121032715,0.08336925506591797,0.034905195236206055,2.292485475540161
