15_15_bw_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination,Machine learning
Top to bottom,0.022938013076782227,0.021940946578979492,0.012966156005859375,0.016464710235595703,0.015956878662109375,0.016955852508544922,0.4189028739929199
MRV,0.017952442169189453,0.015957355499267578,0.01495981216430664,0.010971307754516602,0.008975505828857422,0.009973287582397461,0.38497161865234375
Small to big,0.017951011657714844,0.012964487075805664,0.008975982666015625,0.009973526000976562,0.013962745666503906,0.01798272132873535,0.42636585235595703
LCV,0.01967787742614746,0.023936033248901367,0.01695418357849121,0.008976459503173828,0.015958070755004883,0.014959573745727539,0.3576171398162842
Random selection,0.017952680587768555,0.024443626403808594,0.01495981216430664,0.016952991485595703,0.016955852508544922,0.012965679168701172,0.3801991939544678
By bullets,0.012964487075805664,0.017952919006347656,0.009974241256713867,0.009972333908081055,0.008977174758911133,0.008975028991699219,0.4044680595397949
By color,0.01296544075012207,0.014972448348999023,0.012965202331542969,0.011968374252319336,0.016956329345703125,0.01750326156616211,0.3830389976501465
