10_15_bw_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,0.009002447128295898,0.007982969284057617,0.002992391586303711,0.00698089599609375,0.007978439331054688,0.0029883384704589844
MRV,0.01094365119934082,0.011994361877441406,0.003965139389038086,0.010995864868164062,0.011972665786743164,0.00495457649230957
Small to big,0.0030188560485839844,0.0039904117584228516,0.002993345260620117,0.0029892921447753906,0.002992868423461914,0.0029931068420410156
LCV,0.0029947757720947266,0.0039865970611572266,0.003991842269897461,0.003987550735473633,0.003987312316894531,0.0039937496185302734
By bullets,0.004988908767700195,0.004979848861694336,0.003989458084106445,0.003991365432739258,0.004985332489013672,0.004985809326171875
By color,0.007983684539794922,0.007947683334350586,0.003019094467163086,0.007982015609741211,0.007978677749633789,0.004959583282470703
