15_15_color_1.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,0.09579968452453613,0.08178591728210449,0.07778763771057129,0.02892470359802246,0.07879090309143066,0.034906625747680664
MRV,0.029918909072875977,0.03590703010559082,0.030888080596923828,0.0329129695892334,0.03193926811218262,0.04089522361755371
Small to big,0.024929046630859375,0.026929378509521484,0.025928735733032227,0.025903940200805664,0.029920339584350586,0.025960683822631836
LCV,0.03490328788757324,0.031922101974487305,0.031914472579956055,0.03290510177612305,0.034906625747680664,0.03587818145751953
By bullets,0.028952598571777344,0.03291177749633789,0.028922080993652344,0.02094411849975586,0.029916048049926758,0.026932716369628906
By color,0.031914472579956055,0.036928415298461914,0.029923677444458008,0.029918193817138672,0.030915498733520508,0.04288482666015625
