40_60_bw_2.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,43.42916989326477,49.99490761756897,36.93584108352661,15.352765798568726,36.12947487831116,20.84966230392456
MRV,-1,-1,-1,-1,-1,-1
Small to big,-1,-1,-1,-1,-1,-1
LCV,79.35940647125244,88.57368445396423,87.68837308883667,-1,110.78407382965088,-1
By bullets,-1,-1,-1,5.994678020477295,-1,8.445166110992432
By color,42.91606903076172,51.95115280151367,37.877007722854614,15.55865478515625,36.62177348136902,20.992247819900513
