40_60_color_2.xml,Null heuristic,Count possible paths,Stick to walls,Stick to other paths,Stick to path or wall,Linear combination
Top to bottom,21.176329612731934,27.04043984413147,20.137277364730835,17.03182029724121,22.543628215789795,22.548059701919556
Small to big,-1,-1,-1,-1,-1,-1
LCV,15.827057600021362,16.28674340248108,16.187459468841553,22.90482258796692,16.155531883239746,25.29670286178589
By bullets,-1,-1,-1,44.245126247406006,-1,51.1971800327301
By color,-1,-1,-1,-1,-1,-1
